City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
106,Aswan,EG,78.49,scattered clouds,24.0934,32.907,Nuba Nile
107,Faanui,PF,81.64,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
108,New Norfolk,AU,58.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
109,Nanning,CN,81.05,broken clouds,22.8167,108.3167,Nanning Travelling With Hostel
110,Hokitika,NZ,61.41,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
112,Mataura,NZ,55.47,broken clouds,-46.1927,168.8643,Ellie's Villa
113,Lasa,IT,43.68,few clouds,46.6166,10.7002,Pension Feldgärtenhof
114,Maragogi,BR,77.31,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
115,Bereda,ES,49.57,few clouds,43.2686,-7.5406,Pazo de Verdes
116,Eureka,US,54.57,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
117,Miraflores,MX,65.05,overcast clouds,19.2167,-98.8083,Hotel Mansión
118,Saint-Francois,FR,42.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
119,Paratinga,BR,73.27,clear sky,-12.6906,-43.1842,Pousada Magalhães 2
121,Gualeguay,AR,73.89,scattered clouds,-33.1416,-59.3097,Faro del Lago
122,Innisfail,AU,80.73,broken clouds,-17.5333,146.0333,Moondarra Motel
125,Hithadhoo,MV,84.43,overcast clouds,-0.6,73.0833,Scoop Guest House
126,Yanam,IN,86.2,clear sky,16.7333,82.2167,The Regency Hotel
127,Saldanha,ZA,55.92,clear sky,-33.0117,17.9442,Blue Bay Lodge
129,Hamilton,US,51.24,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
